"Start Time",	"Request Type",	"Latency",	"Response Code"
1623438456113	,POST	,516	,200
1623438456107	,POST	,522	,200
1623438456106	,POST	,526	,200
1623438456106	,POST	,526	,200
1623438456107	,POST	,525	,200
1623438456113	,POST	,519	,200
1623438456105	,POST	,527	,200
1623438456106	,POST	,526	,200
1623438456113	,POST	,520	,200
1623438456106	,POST	,527	,200
1623438456105	,POST	,528	,200
1623438456108	,POST	,525	,200
1623438456106	,POST	,529	,200
1623438456107	,POST	,528	,200
1623438456105	,POST	,530	,200
1623438456113	,POST	,523	,200
1623438456111	,POST	,525	,200
1623438456107	,POST	,529	,200
1623438456106	,POST	,531	,200
1623438456105	,POST	,532	,200
1623438456105	,POST	,532	,200
1623438456106	,POST	,531	,200
1623438456110	,POST	,529	,200
1623438456107	,POST	,532	,200
1623438456105	,POST	,534	,200
1623438456110	,POST	,530	,200
1623438456108	,POST	,532	,200
1623438456107	,POST	,533	,200
1623438456113	,POST	,527	,200
1623438456110	,POST	,531	,200
1623438456110	,POST	,531	,200
1623438456105	,POST	,536	,200
1623438456105	,POST	,536	,200
1623438456107	,POST	,535	,200
1623438456111	,POST	,531	,200
1623438456629	,POST	,85	,200
1623438456629	,POST	,85	,200
1623438456635	,POST	,94	,200
1623438456637	,POST	,92	,200
1623438456635	,POST	,94	,200
1623438456633	,POST	,97	,200
1623438456639	,POST	,91	,200
1623438456633	,POST	,97	,200
1623438456632	,POST	,98	,200
1623438456633	,POST	,98	,200
1623438456640	,POST	,91	,200
1623438456641	,POST	,90	,200
1623438456639	,POST	,92	,200
1623438456640	,POST	,92	,200
1623438456640	,POST	,92	,200
1623438456635	,POST	,97	,200
1623438456632	,POST	,100	,200
1623438456636	,POST	,96	,200
1623438456633	,POST	,99	,200
1623438456637	,POST	,96	,200
1623438456637	,POST	,96	,200
1623438456633	,POST	,100	,200
1623438456641	,POST	,94	,200
1623438456641	,POST	,94	,200
1623438456636	,POST	,99	,200
1623438456637	,POST	,98	,200
1623438456637	,POST	,166	,200
1623438456714	,POST	,89	,200
1623438456714	,POST	,89	,200
1623438456714	,POST	,89	,200
1623438456714	,POST	,89	,200
1623438456632	,POST	,172	,200
1623438456629	,POST	,188	,200
1623438456641	,POST	,176	,200
1623438456629	,POST	,188	,200
1623438456640	,POST	,178	,200
1623438456731	,POST	,87	,200
1623438456732	,POST	,86	,200
1623438456642	,POST	,176	,200
1623438456642	,POST	,177	,200
1623438456730	,POST	,89	,200
1623438456730	,POST	,100	,200
1623438456730	,POST	,100	,200
1623438456735	,POST	,95	,200
1623438456731	,POST	,100	,200
1623438456729	,POST	,102	,200
1623438456731	,POST	,100	,200
1623438456733	,POST	,98	,200
1623438456733	,POST	,99	,200
1623438456732	,POST	,100	,200
1623438456730	,POST	,102	,200
1623438456731	,POST	,101	,200
1623438456803	,POST	,89	,200
1623438456803	,POST	,89	,200
1623438456803	,POST	,90	,200
1623438456804	,POST	,89	,200
1623438456803	,POST	,90	,200
1623438456803	,POST	,90	,200
1623438456817	,POST	,90	,200
1623438456818	,POST	,89	,200
1623438456735	,POST	,172	,200
1623438456817	,POST	,90	,200
1623438456819	,POST	,88	,200
1623438456819	,POST	,89	,200
1623438456817	,POST	,91	,200
1623438456817	,POST	,91	,200
1623438456732	,POST	,176	,200
1623438456818	,POST	,90	,200
1623438456818	,POST	,90	,200
1623438456818	,POST	,90	,200
1623438456818	,POST	,91	,200
1623438456818	,POST	,91	,200
1623438456832	,POST	,92	,200
1623438456832	,POST	,92	,200
1623438456831	,POST	,93	,200
1623438456832	,POST	,92	,200
1623438456830	,POST	,94	,200
1623438456830	,POST	,95	,200
1623438456831	,POST	,94	,200
1623438456733	,POST	,192	,200
1623438456833	,POST	,92	,200
1623438456831	,POST	,94	,200
1623438456832	,POST	,94	,200
1623438456832	,POST	,94	,200
1623438456732	,POST	,194	,200
1623438456735	,POST	,191	,200
1623438456830	,POST	,97	,200
1623438456893	,POST	,89	,200
1623438456892	,POST	,90	,200
1623438456893	,POST	,89	,200
1623438456893	,POST	,89	,200
1623438456908	,POST	,88	,200
1623438456908	,POST	,88	,200
1623438456909	,POST	,87	,200
1623438456908	,POST	,88	,200
1623438456907	,POST	,90	,200
1623438456907	,POST	,90	,200
1623438456907	,POST	,90	,200
1623438456908	,POST	,90	,200
1623438456908	,POST	,90	,200
1623438456924	,POST	,89	,200
1623438456925	,POST	,88	,200
1623438456926	,POST	,87	,200
1623438456925	,POST	,88	,200
1623438456924	,POST	,89	,200
1623438456926	,POST	,88	,200
1623438456924	,POST	,90	,200
1623438456926	,POST	,88	,200
1623438456924	,POST	,90	,200
1623438456926	,POST	,88	,200
1623438456924	,POST	,90	,200
1623438456925	,POST	,90	,200
1623438456832	,POST	,183	,200
1623438456925	,POST	,90	,200
1623438456982	,POST	,88	,200
1623438456982	,POST	,88	,200
1623438456982	,POST	,88	,200
1623438456997	,POST	,89	,200
1623438456996	,POST	,90	,200
1623438456997	,POST	,89	,200
1623438456996	,POST	,91	,200
1623438456996	,POST	,91	,200
1623438456997	,POST	,90	,200
1623438456996	,POST	,91	,200
1623438456997	,POST	,90	,200
1623438456996	,POST	,91	,200
1623438456996	,POST	,91	,200
1623438457013	,POST	,89	,200
1623438457014	,POST	,88	,200
1623438457015	,POST	,88	,200
1623438456927	,POST	,176	,200
1623438457014	,POST	,89	,200
1623438457015	,POST	,88	,200
1623438457014	,POST	,89	,200
1623438457013	,POST	,90	,200
1623438457013	,POST	,90	,200
1623438457013	,POST	,90	,200
1623438457013	,POST	,90	,200
1623438457014	,POST	,90	,200
1623438457070	,POST	,89	,200
1623438457070	,POST	,89	,200
1623438457070	,POST	,89	,200
1623438456982	,POST	,177	,200
1623438457070	,POST	,89	,200
1623438457070	,POST	,89	,200
1623438456982	,POST	,177	,200
1623438457087	,POST	,88	,200
1623438457087	,POST	,88	,200
1623438457086	,POST	,89	,200
1623438457086	,POST	,89	,200
1623438457086	,POST	,89	,200
1623438457087	,POST	,88	,200
1623438457087	,POST	,88	,200
1623438457087	,POST	,89	,200
1623438457086	,POST	,90	,200
1623438457086	,POST	,90	,200
1623438457086	,POST	,90	,200
1623438457102	,POST	,89	,200
1623438457103	,POST	,88	,200
1623438457102	,POST	,89	,200
1623438457103	,POST	,88	,200
1623438457103	,POST	,88	,200
1623438457102	,POST	,89	,200
1623438457102	,POST	,90	,200
1623438457015	,POST	,177	,200
1623438457103	,POST	,89	,200
1623438457103	,POST	,90	,200
1623438457103	,POST	,90	,200
1623438457103	,POST	,90	,200
1623438457159	,POST	,89	,200
1623438457159	,POST	,89	,200
1623438457159	,POST	,89	,200
1623438457159	,POST	,89	,200
1623438457159	,POST	,89	,200
1623438457159	,POST	,89	,200
1623438457175	,POST	,89	,200
1623438457175	,POST	,89	,200
1623438457176	,POST	,88	,200
1623438457175	,POST	,89	,200
1623438457175	,POST	,89	,200
1623438457175	,POST	,89	,200
1623438457087	,POST	,177	,200
1623438457176	,POST	,88	,200
1623438457175	,POST	,89	,200
1623438457175	,POST	,90	,200
1623438457176	,POST	,89	,200
1623438457175	,POST	,90	,200
1623438457191	,POST	,90	,200
1623438457192	,POST	,89	,200
1623438457192	,POST	,89	,200
1623438457192	,POST	,89	,200
1623438457191	,POST	,90	,200
1623438457193	,POST	,88	,200
1623438457193	,POST	,88	,200
1623438457104	,POST	,178	,200
1623438457191	,POST	,91	,200
1623438457191	,POST	,91	,200
1623438457193	,POST	,89	,200
1623438457248	,POST	,90	,200
1623438457248	,POST	,90	,200
1623438457248	,POST	,90	,200
1623438457248	,POST	,90	,200
1623438457248	,POST	,90	,200
1623438457264	,POST	,89	,200
1623438457264	,POST	,89	,200
1623438457264	,POST	,89	,200
1623438457264	,POST	,89	,200
1623438457264	,POST	,89	,200
1623438457264	,POST	,89	,200
1623438457265	,POST	,89	,200
1623438457264	,POST	,90	,200
1623438457264	,POST	,90	,200
1623438457264	,POST	,90	,200
1623438457265	,POST	,89	,200
1623438457264	,POST	,91	,200
1623438457191	,POST	,179	,200
1623438457281	,POST	,89	,200
1623438457191	,POST	,179	,200
1623438457191	,POST	,179	,200
1623438457281	,POST	,89	,200
1623438457282	,POST	,88	,200
1623438457281	,POST	,89	,200
1623438457281	,POST	,89	,200
1623438457281	,POST	,89	,200
1623438457191	,POST	,180	,200
1623438457191	,POST	,180	,200
1623438457281	,POST	,90	,200
1623438457282	,POST	,89	,200
1623438457281	,POST	,90	,200
1623438457248	,POST	,178	,200
1623438457338	,POST	,88	,200
1623438457338	,POST	,88	,200
1623438457338	,POST	,88	,200
1623438457338	,POST	,88	,200
1623438457338	,POST	,88	,200
1623438457354	,POST	,88	,200
1623438457354	,POST	,88	,200
1623438457353	,POST	,89	,200
1623438457354	,POST	,88	,200
1623438457353	,POST	,89	,200
1623438457353	,POST	,89	,200
1623438457354	,POST	,88	,200
1623438457353	,POST	,89	,200
1623438457354	,POST	,88	,200
1623438457355	,POST	,87	,200
1623438457353	,POST	,90	,200
1623438457353	,POST	,91	,200
1623438457353	,POST	,91	,200
1623438457265	,POST	,180	,200
1623438457281	,POST	,178	,200
1623438457371	,POST	,88	,200
1623438457282	,POST	,177	,200
1623438457370	,POST	,89	,200
1623438457370	,POST	,89	,200
1623438457370	,POST	,89	,200
1623438457371	,POST	,88	,200
1623438457370	,POST	,90	,200
1623438457371	,POST	,89	,200
1623438457370	,POST	,90	,200
1623438457370	,POST	,90	,200
1623438457370	,POST	,90	,200
1623438457370	,POST	,90	,200
1623438457426	,POST	,89	,200
1623438457338	,POST	,177	,200
1623438457426	,POST	,89	,200
1623438457426	,POST	,89	,200
1623438457426	,POST	,89	,200
1623438457444	,POST	,88	,200
1623438457442	,POST	,90	,200
1623438457442	,POST	,90	,200
1623438457445	,POST	,87	,200
1623438457444	,POST	,88	,200
1623438457460	,POST	,87	,200
1623438457459	,POST	,88	,200
1623438457459	,POST	,88	,200
1623438457459	,POST	,88	,200
1623438457460	,POST	,87	,200
1623438457459	,POST	,88	,200
1623438457459	,POST	,88	,200
1623438457459	,POST	,88	,200
1623438457460	,POST	,88	,200
1623438457459	,POST	,89	,200
1623438457460	,POST	,88	,200
1623438457460	,POST	,88	,200
1623438457459	,POST	,89	,200
1623438457515	,POST	,89	,200
1623438457515	,POST	,89	,200
1623438457515	,POST	,89	,200
1623438457426	,POST	,178	,200
1623438457515	,POST	,89	,200
1623438457515	,POST	,89	,200
1623438457515	,POST	,89	,200
1623438457532	,POST	,88	,200
1623438457442	,POST	,178	,200
1623438457442	,POST	,178	,200
1623438457442	,POST	,179	,200
1623438457442	,POST	,179	,200
1623438457442	,POST	,179	,200
1623438457442	,POST	,179	,200
1623438457442	,POST	,179	,200
1623438457532	,POST	,89	,200
1623438457442	,POST	,179	,200
1623438457532	,POST	,89	,200
1623438457532	,POST	,89	,200
1623438457532	,POST	,89	,200
1623438457547	,POST	,90	,200
1623438457547	,POST	,90	,200
1623438457547	,POST	,90	,200
1623438457547	,POST	,90	,200
1623438457548	,POST	,89	,200
1623438457548	,POST	,89	,200
1623438457547	,POST	,91	,200
1623438457548	,POST	,90	,200
1623438457460	,POST	,178	,200
1623438457547	,POST	,91	,200
1623438457548	,POST	,90	,200
1623438457548	,POST	,90	,200
1623438457547	,POST	,91	,200
1623438457547	,POST	,91	,200
1623438457604	,POST	,89	,200
1623438457604	,POST	,89	,200
1623438457604	,POST	,89	,200
1623438457604	,POST	,89	,200
1623438457605	,POST	,88	,200
1623438457621	,POST	,89	,200
1623438457621	,POST	,89	,200
1623438457621	,POST	,89	,200
1623438457621	,POST	,89	,200
1623438457621	,POST	,89	,200
1623438457621	,POST	,89	,200
1623438457621	,POST	,89	,200
1623438457620	,POST	,90	,200
1623438457620	,POST	,90	,200
1623438457620	,POST	,90	,200
1623438457621	,POST	,89	,200
1623438457621	,POST	,89	,200
1623438457532	,POST	,178	,200
1623438457637	,POST	,90	,200
1623438457547	,POST	,180	,200
1623438457637	,POST	,90	,200
1623438457638	,POST	,90	,200
1623438457638	,POST	,90	,200
1623438457638	,POST	,90	,200
1623438457638	,POST	,90	,200
1623438457638	,POST	,90	,200
1623438457637	,POST	,91	,200
1623438457637	,POST	,91	,200
1623438457638	,POST	,90	,200
1623438457637	,POST	,91	,200
1623438457638	,POST	,91	,200
1623438457638	,POST	,91	,200
1623438457693	,POST	,89	,200
1623438457693	,POST	,89	,200
1623438457693	,POST	,89	,200
1623438457693	,POST	,89	,200
1623438457710	,POST	,90	,200
